School Name	Average Point Score	School Type
Prospects College of Advanced Technology	29.72	General Further Education College
Becket Keys Church of England Free School	29.72	Free school - mainstream
Roding Valley High School	29.72	Community school
Saffron Walden County High School	36.44	Academy converter - mainstream
St John Payne Catholic School, Chelmsford	32.03	Voluntary aided school
St Mark's West Essex Catholic School	22.24	Academy converter - mainstream
St Martin's School Brentwood	28.39	Academy converter - mainstream
The Sandon School	28.97	Academy converter - mainstream
The Billericay School	27.61	Academy converter - mainstream
SEEVIC College	26.49	General Further Education College
Shenfield High School	32.61	Academy converter - mainstream
Sir Charles Kao Utc	9.41	Free school - UTC (university technical college)
The Sixth Form College Colchester	26.92	Sixth Form College
The Sweyne Park School	23.94	Academy converter - mainstream
Tendring Enterprise Studio School	29.72	Free school - studio school
Tendring Technology College	27.7	Academy converter - mainstream
Thurstable School Sports College and Sixth Form Centre	24.52	Academy converter - mainstream
Trinity School	29	Independent school
West Hatch High School	28.86	Academy converter - mainstream
William de Ferrers School	29.73	Academy converter - mainstream
The Boswells School	31.74	Academy converter - mainstream
Brentwood County High School	26.19	Academy converter - mainstream
Brentwood School	41.56	Independent school
Brentwood Ursuline Convent High School	33.8	Academy converter - mainstream
The Bromfords School and Sixth Form College	24.59	Academy converter - mainstream
City Academy Norwich	29.72	Sponsored academy
City of Norwich School	28.77	Academy converter - mainstream
The College of West Anglia	22.34	General Further Education College
Dereham Neatherd High School	29.35	Community school
Diss High School	31.49	Academy converter - mainstream
Downham Market Academy	25.26	Sponsored academy
East Norfolk Sixth Form College	27.59	Sixth Form College
Easton & Otley College	29.72	Agriculture and Horticulture College
Fakenham Academy	28.38	Sponsored academy
Focus School - Swaffham Campus	29.61	Independent school
Great Yarmouth College	29.72	General Further Education College
Gresham's School	37.41	Independent school
Hellesdon High School	31.87	Academy converter - mainstream
Hethersett Old Hall School	28.48	Independent school
The Hewett Academy, Norwich	32.27	Sponsored academy
Iceni Academy	14.06	Sponsored academy
Jane Austen College	35.74	Free school - mainstream
King Edward VII Academy	28.78	Sponsored academy
Attleborough Academy Norfolk	22.19	Academy converter - mainstream
Langley School	33	Independent school
The Nicholas Hamond Academy	16.67	Sponsored academy
Northgate High School	29.35	Academy converter - mainstream
Norwich City College of Further and Higher Education	24.55	General Further Education College
Norwich High School for Girls GDST	40.63	Independent school
Norwich School	45.44	Independent school
Notre Dame High School, Norwich	34.13	Academy converter - mainstream
The Open Academy	19.5	Sponsored academy
Ormiston Victory Academy	25.13	Sponsored academy
Paston Sixth Form College	30.22	Sixth Form College
Reepham High School and College	33.33	Academy converter - mainstream
Sewell Park Academy	22.22	Sponsored academy
Sheringham High School	31.51	Academy converter - mainstream
Sir Isaac Newton Sixth Form Free School	33.57	Free school - 16-19
Smithdon High School	24.88	Community school
Springwood High School	30.94	Academy converter - mainstream
Sprowston Community High School	26.13	Community school
Taverham High School	29.53	Academy converter - mainstream
The Thetford Academy	21.75	Sponsored academy
Thetford Grammar School	38.56	Independent school
Thorpe St Andrew School and Sixth Form	31.25	Community school
Trafalgar College	29.72	Free school - mainstream
University Technical College Norfolk	10.26	Free school - UTC (university technical college)
Wymondham College	34.55	Academy converter - mainstream
Wymondham High Academy Trust	32.63	Academy converter - mainstream
Cecil Jones Academy	27.98	Sponsored academy
Chase High School	26.4	Sponsored academy
Futures Community College	29.72	Foundation school
Belfairs Academy	21.85	Academy converter - mainstream
St Bernard's High School	29.05	Academy converter - mainstream
St Thomas More High School	26.81	Academy converter - mainstream
Shoeburyness High School	24.64	Academy converter - mainstream
South Essex College of Further and Higher Education	19.94	General Further Education College
Southend High School for Boys	40.17	Academy converter - mainstream
Southend High School for Girls	38.23	Academy converter - mainstream
Westcliff High School for Boys Academy	40.99	Academy converter - mainstream
Westcliff High School for Girls	39.96	Academy converter - mainstream
Copleston High School	28.3	Academy converter - mainstream
Culford School	35.85	Independent school
Farlingaye High School	34.8	Academy converter - mainstream
Felixstowe Academy	24.22	Sponsored academy
Felixstowe International College	29.11	Independent school
Finborough School	18.32	Independent school
Focus School - Stoke by Nayland	24.82	Independent school
Framlingham College	32.22	Independent school
Hartismere School	30.7	Academy converter - mainstream
Ipswich Academy	12.63	Sponsored academy
Ipswich High School	38.14	Independent school
Ipswich School	41.48	Independent school
Kesgrave High School	28.62	Academy converter - mainstream
King Edward VI Church of England Voluntary Controlled Upper School	31.48	Voluntary controlled school
Lowestoft College	29.72	General Further Education College
Lowestoft Sixth Form College	27.81	Sixth Form College
Mildenhall College Academy	27.37	Academy converter - mainstream
Newmarket Academy	20.77	Sponsored academy
Northgate High School	30.87	Community school
Ormiston Sudbury Academy	24.44	Sponsored academy
Royal Hospital School	34.38	Independent school
St Alban's Catholic High School	28.95	Academy converter - mainstream
St Benedict's Catholic School	36.59	Voluntary aided school
Saint Felix School	33.9	Independent school
St Joseph's College	30.08	Independent school
Samuel Ward Academy	30.83	Academy converter - mainstream
Sir John Leman High School	30.81	Academy converter - mainstream
Stowmarket High School	28.14	Community school
Stowupland High School	25.94	Community school
Suffolk New College	17.51	General Further Education College
Suffolk One	31.05	ACC1619
Summerhill School	29.72	Independent school
Thomas Gainsborough School	30.73	Academy converter - mainstream
Thomas Mills High School	29.68	Academy converter - mainstream
Thurston Community College	32.68	Community school
West Suffolk College	25.63	General Further Education College
Woodbridge School	36.11	Independent school
Alde Valley School	22.59	Sponsored academy
Bungay High School	31.56	Academy converter - mainstream
Bury St Edmunds County Upper School	34.18	Academy converter - mainstream
Castle Manor Academy	18.46	Academy converter - mainstream
Gable Hall School	26.3	Academy converter - mainstream
The Gateway Academy	13.75	Sponsored academy
Harris Academy Chafford Hundred	34.15	Academy converter - mainstream
The Ockendon Academy	22.07	Academy converter - mainstream
Ormiston Park Academy	14.95	Sponsored academy
Palmer's College	25.34	Sixth Form College
Dereham Sixth Form College	29.35	
Emmanuel College	38.21	City technology college
Gateshead College	23.6	General Further Education College
Heworth Grange Comprehensive School	27.89	Community school
Joseph Swan Academy	28.91	Academy converter - mainstream
Lord Lawson of Beamish Academy	31.1	Academy converter - mainstream
St Thomas More Catholic School	32.83	Academy converter - mainstream
Thorp Academy	25.95	Sponsored academy
Whickham School	30.66	Academy converter - mainstream
Cardinal Hume Catholic School	32.77	Academy converter - mainstream
Dame Allan's Senior School	38.36	Independent school
Discovery School	19.77	Free school - mainstream
Excelsior Academy	23.65	Sponsored academy
Gosforth Academy	30.04	Academy converter - mainstream
Heaton Manor School	30.49	Foundation school
Kenton School	22.85	Academy converter - mainstream
NCG	24.29	General Further Education College
Newcastle High School for Girls	38.16	Independent school
Newcastle School for Boys	33.23	Independent school
Royal Grammar School	45.55	Independent school
Sacred Heart Catholic High School	36.35	Academy converter - mainstream
St Cuthbert's High School	33.8	Academy converter - mainstream
Benfield School	26.11	Foundation school
St Mary's Catholic School	32.72	Academy converter - mainstream
Studio West	15.25	Free school - studio school
Trinity Solutions Academy	29.72	Academy converter - mainstream
Walbottle Campus	33.1	Community school
Walker Technology College	25.08	Foundation school
Westfield School	37.88	Independent school
Churchill Community College	33.44	Foundation school
George Stephenson High School	32.41	Foundation school
Kings Priory School	32.25	Sponsored academy
Longbenton High School	28.46	Foundation school
Monkseaton High School	27.34	Foundation school
St Thomas More Roman Catholic Academy	32.31	Academy converter - mainstream
Seaton Burn College, A Specialist Business and Enterprise School	24.37	Foundation school
Tyne Metropolitan College	27.49	General Further Education College
Whitley Bay High School	31.51	Foundation school
Burnside Business and Enterprise College	29.83	Community school
Cramlington Learning Village	32.63	Academy converter - mainstream
The Duchess's Community High School	30.74	Community school
Haydon Bridge Community High School and Sports College	30.4	Foundation school
